lat,lon,t,bath
45.77,-122.2,9.544672,600.0
45.77,-122.2,9.544672,600.0
45.77,-122.2,9.544672,600.0
45.77,-122.2,9.544672,600.0
45.77,-122.2,9.544672,600.0
45.77,-122.2,9.544672,600.0
45.78,-122.2,9.544672,705.0
46.53,-122.82,9.6252508,176.0
46.54,-122.82,9.6252508,162.0
46.54,-122.82,9.6252508,162.0
46.53,-122.83,9.6252508,168.0
46.53,-122.83,9.6252508,168.0
46.54,-122.62,9.6252508,184.0
45.76,-121.54,9.544672,254.0
45.76,-121.54,9.544672,254.0
46.63,-120.41,9.7773581,1458.0
45.71,-121.89,9.5560369,179.0
47.12,-120.68,9.7773581,1217.0
45.91,-121.05,9.5405912,581.0
45.67,-122.38,9.5560369,368.0
45.77,-121.12,9.544672,651.0
46.62,-120.41,9.7773581,1217.0
47.24,-120.01,9.7773581,879.0
47.24,-120.01,9.7773581,879.0
45.82,-122.46,9.544672,223.0
46.83,-120.21,9.7773581,909.0
46.83,-120.21,9.7773581,909.0
39.51,-119.75,16.215477,1000.0
43.33,-119.57,9.4671307,1313.0
43.31,-119.54,9.4671307,1313.0
43.35,-119.67,9.4671307,1313.0
43.49,-119.54,9.5357075,1375.0
43.15,-119.72,9.2272873,1315.0
43.11,-119.73,8.97577,1331.0
40.42,-119.41,16.524179,1720.0
40.42,-119.4,16.524179,1720.0
40.37,-119.4,16.524179,1628.0
40.36,-119.4,16.524179,1618.0
40.36,-119.41,16.524179,1618.0
40.35,-119.36,16.524179,1611.0
40.35,-119.4,16.524179,1611.0
40.4,-119.4,16.524179,1680.0
40.4,-119.4,16.524179,1680.0
40.4,-119.41,16.524179,1680.0
40.4,-119.4,16.524179,1680.0
40.41,-119.4,16.524179,1699.0
39.86,-119.01,16.215477,1625.0
44.79,-122.57,9.8749847,244.0
44.4,-122.51,9.8749847,322.0
44.75,-122.39,9.8749847,330.0
44.4,-122.49,9.8749847,280.0
44.12,-122.41,9.8749847,326.0
44.75,-122.62,9.8749847,502.0
44.59,-122.37,9.8749847,506.0
44.12,-122.45,9.8749847,379.0
44.11,-122.43,9.8749847,313.0
39.91,-119.22,16.215477,1356.0
39.95,-119.2,16.215477,1124.0
39.95,-119.0,16.215477,1124.0
39.95,-119.02,16.215477,1124.0
39.96,-119.1,16.215477,1300.0
39.96,-119.07,16.215477,1300.0
39.96,-119.06,16.215477,1300.0
39.96,-119.04,16.215477,1300.0
39.96,-119.25,16.215477,1300.0
39.97,-119.01,16.215477,1338.0
39.97,-119.05,16.215477,1338.0
39.98,-119.02,16.215477,1258.0
39.98,-119.02,16.215477,1258.0
39.98,-119.11,16.215477,1258.0
39.99,-119.03,16.215477,1313.0
39.99,-119.05,16.215477,1313.0
39.99,-119.29,16.215477,1313.0
39.99,-119.03,16.215477,1313.0
39.99,-119.02,16.215477,1313.0
39.99,-119.01,16.215477,1313.0
40.0,-119.17,16.215477,1270.0
40.0,-119.05,16.215477,1270.0
44.31,-122.12,9.8749847,1012.0
46.74,-121.51,9.7773581,1069.0
46.71,-121.48,9.7773581,1104.0
46.71,-121.55,9.7773581,726.0
44.16,-122.25,9.8749847,376.0
46.68,-121.45,9.7773581,1229.0
46.66,-121.51,9.7773581,974.0
46.67,-121.57,9.7773581,781.0
38.76,-119.15,16.215477,222.0
40.41,-119.4,16.524179,1699.0
40.39,-119.4,16.524179,1664.0
45.45,-121.16,9.5407829,477.0
40.39,-119.4,16.524179,1664.0
40.4,-119.4,16.524179,1680.0
40.41,-119.41,16.524179,1699.0
40.41,-119.4,16.524179,1699.0
40.41,-119.39,16.524179,1699.0
40.46,-119.42,16.524179,1735.0
40.45,-119.42,16.524179,1729.0
43.55,-119.95,9.5357075,1425.0
43.55,-119.95,9.5357075,1425.0
43.74,-121.29,9.5827484,1923.0
43.74,-121.29,9.5827484,1923.0
38.94,-122.97,17.939177,752.0
38.78,-122.7,17.580811,548.0
38.78,-122.7,17.580811,548.0
38.79,-122.7,17.580811,626.0
38.79,-122.7,17.580811,626.0
38.78,-122.69,17.580811,476.0
38.78,-122.69,17.580811,476.0
38.86,-122.89,17.834578,873.0
38.87,-122.87,17.834578,911.0
38.89,-122.92,17.834578,743.0
38.88,-122.95,17.834578,602.0
38.87,-122.9,17.834578,721.0
38.87,-122.9,17.834578,721.0
38.85,-122.92,17.834578,616.0
38.85,-122.92,17.834578,616.0
38.86,-122.9,17.834578,719.0
38.87,-122.92,17.834578,930.0
38.92,-122.95,17.834578,862.0
38.9,-122.91,17.834578,822.0
38.92,-122.8,17.834578,631.0
38.9,-122.8,17.834578,774.0
38.8,-122.68,17.580811,848.0
40.44,-119.41,16.524179,1728.0
40.44,-119.41,16.524179,1728.0
40.44,-119.41,16.524179,1728.0
40.44,-119.41,16.524179,1728.0
40.44,-119.42,16.524179,1728.0
40.36,-119.39,16.524179,1618.0
